Label,Brand,Name,Price,Rank,Ingredients,Combination,Dry,Normal,Oily,Sensitive,acne,age,bright,bh,red,tex,barrier,hyper
Moisturizer,SUNDAY RILEY,Luna Sleeping Night Oil,105,4.1,"Persea Gratissima (Extra Virgin,avocado, Vitis Vinifera (Organic,grapeseedoil,blackberry, Salvia Hispanica (Cold Pressed Chia) Oil, Dimethyl Isosorbide , Hydroxypinacolone Retinoate, Chamomilla Recutita (Matricaria) Flower Oil, Tanecetum annuum (Blue Tansy) oil, Anthemis nobilis (English Chamomile) oil, Eriocephalus punctulatus (Cape Chamomile) oil, Citrus Aurantium Amara (Neroli) Oil, Citrus Aurantium Dulcis (Blood Orange) oil, Cananga Odorata Flower (Ylang Ylang) Oil, Vetivera zizanoides (Vetiver) oil,sunflower, Rosmarinus officinalis (Rosemary) Leaf Extract, CI 61565 (Green 6), CI 60725 (Violet 2).",1,1,1,1,1,2,1,2,1,2,1,2,2
Moisturizer,FARMACY,Honeymoon Glow AHA Resurfacing Night Serum with Echinacea GreenEnvy™,58,4.6,",lactic, Propanediol,jojoba,glycolic, Potassium Hydroxide,willow, Carthamus Tinctorius (Safflower) Oleosomes,grapeseedoil, Hibiscus Sabdariffa Flower Extract,citric, Honey Extract, Echinacea Purpurea Root Extract, Propolis Extract, Royal Jelly Extract, Hydrolyzed Sodium Hyaluronate,hyaluronic, Curcuma Longa (Turmeric) Root Extract, Argania Spinosa Kernel Oil, Zingiber Officinale (Ginger) Root Extract, Amaranthus Caudatus Seed Oil, Limnanthes Alba (Meadowfoam) Seed Oil, Vaccinium Myrtillus Fruit/Leaf Extract, Saccharum Officinarum (Sugarcane) Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Acer Saccharum (Sugar Maple) Extract, Melia Azadirachta Leaf Extract,sunflower, Melia Azadirachta Flower Extract, Salvia Hispanica Seed Oil, Cetearyl Alcohol,glycerin, Arachidyl Alcohol, Sclerotium Gum, Coco-Glucoside, Polyacrylate Crosspolymer-6, Behenyl Alcohol, Arachidyl Glucoside,, Tocopherol,, Corallina Officinalis Extract, Polyglyceryl-10 Stearate, Gluconolactone, 1,2-Hexanediol, Ocimum Basilicum (Basil) Flower/Leaf Extract, Ocimum Sanctum Leaf Extract, T-Butyl Alcohol, Glucose, Calcium Gluconate, Citral.",1,1,1,1,1,2,2,2,2,2,2,2,2
Moisturizer,FIRST AID BEAUTY,Ultra Repair® Cream Intense Hydration,30,4.6,", Stearic Acid,glycerin, C12-15 Alkyl Benzoate, Caprylic/Capric Triglyceride, Glyceryl Stearate Se, Glyceryl Stearate, Cetearyl Alcohol, Butyrospermum Parkii Butter,dimethicone,squalane, Allantoin,camellia, Caprylyl Glycol, Ceramide 3, Chrysanthemum Parthenium Extract, Colloidal Oatmeal, Disodium EDTA,eucalyptus, Glycyrrhiza Glabra Root Extract, Sodium Hydroxide, Xanthan Gum, Phenoxyethanol.",1,1,1,1,1,0,2,1,1,2,2,0,1
Moisturizer,CLINIQUE,Moisture Surge 72-Hour Auto-Replenishing Hydrator,39,4.4,",dimethicone, Butylene Glycol ,glycerin, Trisiloxane , Trehalose , Sucrose , Ammonium Acryloyldimethyltaurate/Vp Copolymer , Hydroxyethyl Urea ,camellia, Silybum Marianum (Lady'S Thistle) Extract , Betula Alba (Birch) Bark Extract , Saccharomyces Lysate Extract ,aloe, Thermus Thermophillus Ferment , Caffeine , Sorbitol , Palmitoyl Hexapeptide-12 , Sodium Hyaluronate , Caprylyl Glycol , Oleth-10 , Sodium Polyaspartate , Saccharide Isomerate , Hydrogenated Lecithin , Tocopheryl Acetate , Acrylates/C10-30 Alkyl Acrylate Crosspolymer , Glyceryl Polymethacrylate , Tromethamine , Peg-8 , Hexylene Glycol ,vitc, Disodium Edta , Bht , Phenoxyethanol , Red 4 (Ci 14700) , Yellow 5 (Ci 19140)",1,1,1,1,1,0,2,2,1,2,1,2,2
Moisturizer,FRESH,Rose Deep Hydration Moisturizer,40,4.4,",glycerin, EthylhexylIsononanoate, Butylene Glycol, Pentylene Glycol, Propanediol,Caprylyl Methicone, Isostearyl Isostearate,dimethicone, BehenylAlcohol, Nylon-6/12, Steareth-2, Xanthan Gum, PrunusDomestica Seed Oil,damascena, Algin,Angelica Keiskei Extract, Acacia Senegal Gum,cucumber,damascena, SodiumHyaluronate, Tocopheryl Acetate, Ammonium Acryloyldimethy-ltaurate/VP Copolymer, Steareth-21, Polyacrylamide, C13-14Isoparaffin, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Tromethamine, Dimethiconol, Laureth-7, Tetrasodium EDTA,Caprylic/Capric Triglyceride, BHT, Caramel, Serine,fragrance, Phenoxyethanol, Citronellol, Geraniol.",0,0,0,0,0,0,2,1,2,2,1,0,1
Moisturizer,LA MER,Crème de la Mer Mini,85,4.1,"seaweed,petrolatum,petrolatum,glycerin, Isohexadecane, Microcrystalline Wax, Lanolin Alcohol, Citrus Aurantifolia (Lime) Extract,sesame,eucalyptus,sesame, Medicago Sativa (Alfalfa) Seed Powder,sunflower,almond, Sodium Gluconate, Copper Gluconate, Calcium Gluconate, Magnesium Gluconate, Zinc Gluconate, Magnesium Sulfate, Paraffin, Tocopheryl Succinate, Niacin,, Beta-Carotene, Decyl Oleate, Aluminum Distearate, Octyldodecanol,citric, Cyanocobalamin, Magnesium Stearate, Panthenol, Limonene, Geraniol, Linalool, Hydroxycitronellal, Citronellol, Benzyl Salicylate, Citral,,alcohol denat,fragrance",1,1,1,1,1,0,2,2,2,2,2,0,1
Moisturizer,BAREMINERALS,COMPLEXION RESCUE™ Tinted Moisturizer Broad Spectrum SPF 30,30,3.9,", Coconut Alkanes, Propanediol,squalane, Trehalose, Isostearic Acid,glycerin, Silica, Agar, Caprylic/Capric Triglyceride, Globularia Cordifolia Callus Culture Extract, Salicornia Herbacea Extract, Melilotus Officinalis Extract, Coco-Caprylate/Caprate, Butylene Glycol, Lauroyl Lysine, Sodium Hyaluronate, Succinoglycan, Polysorbate 60, Cellulose Gum, Polyglyceryl-4 Laurate/Succinate, Sorbitan Sesquiisostearate, Magnesium Stearate, Magnesium Hydroxide, Magnesium Chloride, Potassium Chloride, Calcium Chloride,, Phenoxyethanol. May Contain: Titanium Dioxide, Iron Oxides.",0,0,0,0,0,2,2,1,1,2,1,2,1
Moisturizer,FRESH,Black Tea Firming Overnight Mask,92,4.1,",glycerin, Butylene Glycol,jojoba, Isohexadecane, Ammonium Acryloyldimethyltaurate/Vp Copolymer, Dicaprylyl Carbonate,camellia, Pentylene Glycol, Ethylhexyl Palmitate, Mirabilis Jalapa Extract, Glyceryl Stearate, Steareth-21, Caprylic/Capric Triglyceride,dimethicone, Oxidized Corn Oil, Butyrospermum Parkii (Shea Butter),beeswax, Kigelia, Africana Fruit Extract, Saccharomyces Ferment Filtrate,camellia,blackberry, Litichi Chinensis Seed Extract,damascena, Sodium Hyaluronate, Adenosine, Tocopheryl Acetate, Tocopherol, Ceteareth-20, Behenyl Alcohol,fragrance, Ceteareth-12, Cetearyl Alcohol, Sodium Citrate, Sodium Polyacrylate Starch, Sodium Polyacrylate, Sorbitan Laurate, Disodium Edta, Maltodextrin, Silica, Tetrasodium Edta, Hydroxyethylcellulose, Acetyl Dipeptide-1 Cetyl Ester,citric, Ci 77891 (Titanium Dioxide), BHT,, Biotin, Phenoxyethanol, Linalool, Citronellol, Geraniol.",1,1,1,0,0,0,2,2,2,2,2,0,1
Moisturizer,BELIF,The True Cream Moisturizing Bomb,38,4.6,",glycerin, Cyclohexasiloxane, Hydrogenated Polydecene, Dipropylene Glycol, Macadamia Ternifolia Seed Oil, 1,2-Hexanediol, Bis-PEG-18 Methyl Ether Dimethyl Silane, Triethylhexanoin, Stearyl Alcohol, Glyceryl Stearate, Pentaerythrityl Tetraethylhexanoate, PEG-40 Stearate, Saccharomyces/Viscum Album (Mistletoe) Ferment Extract,lactobacillus, Saccharomyces/Imperata Cylindrica Root Ferment Extract, Cetearyl Alcohol, Ceteayl Olivate, Sorbitan Olivate, Hydrogenated Lecithin, Sorbitan Stearate, Stearic Acid, PEG-100 Stearate,dimethicone,dimethicone, Poncirus Trifoliata Fruit Extract, Panthenol, *Avena Sativa (Oat) Kernel Extract, *Calendula Officinalis Flower Extract, *Nepeta Cataria Extract, *Rubus Idaeus (Raspberry) Leaf Extract, *Baptisia Tinctoria Root Extract, *Stellaria Media (Chickweed) Extract, **Alchemilla Vulgaris Leaf Extract, **Viola Tricolor Extract,damascena, **Spiraea Ulmaria Flower Extract, **Althaea Officinalis Root Extract, Symphytum Officinale Leaf Extract, Trifolium Pratense (Clover) Flower Extract, Achillea Millefolium Flower Extract, Euphrasia Officinalis Extract, Thuja Occidentalis Leaf Extract, Menyanthes Trifoliata Leaf Extract,willow, Chelidonium Majus Extract, Urea, Hydroxyethylpiperazine Ethane Sulfonic Acid, Glycosyl Trehalose, Hydrogenated Starch Hydrolysate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Carbomer, Xanthan Gum, Trisodium EDTA, Tromethamine, ***Frgrance, Citronnellol,fragrance",0,1,1,0,0,0,2,1,2,2,1,0,1
Moisturizer,CHARLOTTE TILBURY,Charlotte's Magic Cream,100,4.4,", Homosalate , Glyceryl Stearate SE, Ethylhexyl Salicylate, Butylene Glycol,glycerin, Butyl Methoxydibenzoylmethane, Octocrylene, Cetyl Alcohol, C12-15 Alkyl Benzoate, Cyclopentasiloxane,dimethicone, Phenoxyethanol, Butyrospermum Parkii (Shea) Butter, Steareth-21, Avena Sativa (Oat) Kernel Extract, Carbomer, Dimethiconol, Potassium Cetyl Phosphate, Chlorphenesin, Caprylyl Glycol, Xanthan Gum, Hydrolyzed Viola Tricolor Extract, Allantoin,aloe, Disodium Edta, Tocopheryl Acetate,camellia, Rosa Canina Fruit Oil,damascena, Sodium Hydroxide,sunflower, Michelia Alba Leaf Oil, Sodium Lactate, Coco-Glucoside, PEG-8,glycerin, Sodium Hyaluronate, Tocopherol, Palmitoyl Oligopeptide, Palmitoyl Tetrapeptide-7,vitc, Plumeria Rubra Flower Extract,vitc,citric, Nicotiana Sylvestris Leaf Cell Culture, Linalool, Citronellol, Geraniol.",0,0,0,0,0,0,2,2,2,2,2,0,2
Moisturizer,ORIGINS,Dr. Andrew Weil For Origins™ Mega-Mushroom Relief & Resilience Soothing Treatment Lotion,34,4.4,", Butylene Glycol, PEG-4, Citrus Aurantium Dulcis (Orange) Oil**,lavender, Pogostemon Cablin (Patchouli) Oil**, Citrus Nobilis (Mandarin Orange) Peel Oil**, Pelargonium Graveolens Flower Oil**, Boswellia Carterii (Olibanum) Oil***, Limonene, Linalool, Citronellol, Geraniol, Ganoderma Lucidum (Reishi Mushroom) Extract, Fuscoporia Obliqua Sclerotium Extract, Cordyceps Sinensis (Mushroom) Extract, Ergothioneine, Camelina Sativa Seed Oil,lactobacillus, Hippophae Rhamnoides Extract*, Zingiber Officinale (Ginger) Root Extract*, Curcuma Longa (Turmeric) Root Extract*, Ocimum Sanctum (Holy Basil) Leaf Extract,sunflower, Silybum Marianum Fruit Extract, Saccharomyces Lysate Extract, Centella Asiatica (Hydrocotyl) Extract, Hypnea Musciformis (Algae) Extract, Caffeine, Sucrose*, Salvia Sclarea (Clary) Extract, Saccharomyces Ferment Filtrate,castor, Gellidiella Acerosa Extract, Trideceth-9,glycerin, Glycereth-26, Polysorbate 20, Sodium Hyaluronate, Tocopheryl Acetate, Maltodextrin, Pentylene Glycol, Sodium Hydroxide,citric,, Phenoxyethanol.",1,1,1,1,1,0,2,2,2,2,2,2,1
Moisturizer,CLINIQUE,Dramatically Different Moisturizing Lotion+,28,3.9,",petrolatum,glycerin,petrolatum, Stearic Acid , Glyceryl Stearate ,sesame, Urea , Lanolin Alcohol , Triethanolamine , Hordeum Vulgare (Barley) Extract/Extrait D'Orge ,cucumber,sunflower, Propylene Glycol Dicaprate , Sodium Hyaluronate , Butylene Glycol , Pentylene Glycol , Trisodium Edta , Phenoxyethanol , Yellow 6 (Ci 15985) , Yellow 5 (Ci 19140) , Red 33 (Ci 17200)",1,1,0,0,0,0,2,1,1,2,1,2,1
Moisturizer,FRESH,Black Tea Kombucha Antioxidant Essence,68,4.4,", Saccha-romyces Ferment Filtrate,glycerin, Ca-mellia Sinensis Leaf Extract, PentyleneGlycol,glycerin, Kigelia AfricanaFruit Extract, Citrus Unshiu Peel Extract,Sodium Hyaluronate, Adenosine, To-copheryl Acetate, Tocopherol, ButyleneGlycol,glycerin,castor,,fragrance, Disodium EDTA, Hy-droxyethylcellulose, Sodium Citrate,BHT,citric,, Biotin, Phenoxyethanol, Linalool,Citronellol, Geraniol.",0,0,0,0,0,2,2,2,2,2,2,2,1
Moisturizer,TATCHA,Pure One Step Camellia Cleansing Oil,48,4.5,"Cetyl Ethylhexanoate, Oryza Sativa (Rice) Bran Oil, Polyglyceryl-10 Dioleate, Polyglyceryl-2 Sesquicaprylate,camellia,camellia, Algae Extract,, Glyceryl Behenate/Eicosadioate,glycerin,glycerin,fragrance, Alcohol, Phenoxyethanol.",1,1,1,1,1,1,2,1,1,2,1,2,1
Moisturizer,JOSIE MARAN,100 percent Pure Argan Oil,48,4.5,Argan Oil,0,1,0,1,1,1,1,1,1,2,1,1,1
Moisturizer,FARSÁLI,Unicorn Essence Antioxidant Primer Serum,54,3.9,", Propanediol,glycerin, Polysorbate 20, Glyceryl Polyacrylate, Euterpe Oleracea (Açaí) Fruit Extract, Vaccinium Angustifolium (Blueberry) Fruit Extract, Lycium Barbarum (Goji) Fruit Extract, Sambucus Nigra (Elder Berry) Fruit Extract, Tamarindus Indica Seed Polysaccharide, Phenoxyethanol,glycerin, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Vanilla Planifolia Fruit Extract, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Citrus Paradisi (Grapefruit) Peel Oil, Red 33, Red 4, Blue 1, Mica, Titanium Dioxide.",0,0,0,0,0,1,2,2,1,2,1,2,1
Moisturizer,LANEIGE,Water Sleeping Mask,25,4.4,", Butylene Glycol, Cyclopentasiloxane,glycerin, Cyclohexasiloxane, Trehalose, Sodium Hyaluronate, Oenothera Biennis (Evening Primrose) Root Extract, Prunus Armeniaca (Apricot) Fruit Extract, Beta-Glucan, Chenopodium Quinoa Seed Extract,vitc, Magnesium Sulfate, Zinc Sulfate, Manganese Sulfate, Calcium Chloride, Potassium Alginate, Ammonium Acryloyldimethyltaurate, VP Copolymer, Polysorbate 20,dimethicone, Dimethiconol,dimethicone,dimethicone, Propanediol,glycerin, Stearyl Behenate, Polyglyceryl-3 Methylglucose Distearate, Hydroxypropyl Bispalmitamide MEA, Inulin Lauryl Carbamate, Alcohol, 1,2-Hexanediol, Caprylyl Glycol, Carbomer, Tromethamine, Disodium EDTA, Phenoxyethanol,fragrance, Blue 1 (Ci 42090).",1,1,1,1,1,0,2,2,1,2,1,0,1
Moisturizer,SK-II,Facial Treatment Essence Mini,99,4.1,"Galactomyces Ferment Filtrate (Pitera), Butylene Glycol, Pentylene Glycol,,, Methylparaben, Sorbic Acid.",1,1,1,1,1,1,1,1,1,1,1,1,1
Moisturizer,TATCHA,Luminous Dewy Skin Mist,48,4.0,",glycerin,squalane, Cyclopentasiloxane, Propanediol, Triethylhexanoin,camellia, Inositol (Rice Extract), Algae Extract, Sericin (Silk Extract), Glycyrrhiza glabra (Licorice) Root Extract, Oryza Sativa (Rice) Germ Oil,camellia, Chondrus Crispus (Red algae) Extract, Panax Ginseng Root Extract, Royal Jelly Extract, Zizyphus Jujuba Fruit Extract, Thymus Serpillum (Thyme) Extract, Scutellaria Baicalensis Root Extract, Polyglyceryl-2 diisostearate, Ppg-5-Ceteth-10 Phosphate, Trideceth-12, Sodiumlauroyl Lactylate, Sorbitan Stearate,glycerin, Behenyl Alcohol, Glyceryl Stearate Se,fragrance, Sodium Hyaluronate, Alcohol, Phenoxyethanol.",1,1,1,0,1,0,2,2,1,2,1,0,1
Moisturizer,CLINIQUE,Dramatically Different Moisturizing Gel,28,4.5,",dimethicone, Isododecane , Butylene Glycol , Bis-Peg-18 Methyl Ether Dimethyl Silane ,glycerin, Laminaria Saccharina Extract , Polygonum Cuspidatum Root Extract , Saccharomyces Lysate Extract ,cucumber, Hordeum Vulgare (Barley) Extract/Extrait D'Orge ,sunflower, Caffeine , Trehalose , Sodium Hyaluronate , Tocopheryl Acetate , Chamomilla Recutita (Matricaria) , Polysilicone-11 , Silica , Propylene Glycol Dicaprate , Oleth-10 ,lactobacillus, Laureth-23 , Laureth-4 , Ammonium Acryloyldimethyltaurate/Vp Copolymer , Carbomer , Caprylyl Glycol , Hexylene Glycol , Tromethamine , Disodium Edta , Phenoxyethanol ,, Yellow 5 (Ci 19140) , Red 4 (Ci 14700) , Yellow 6 (Ci 15985)",1,0,0,1,0,0,2,1,1,2,1,2,1
